Date,ko_Open,ko_High,ko_Low,ko_Close,pep_Open,pep_High,pep_Low,pep_Close,,,,
1/3/2017,41.5,41.81,41.28,41.8,104.94,105.09,104.21,104.65,,,,
1/4/2017,41.88,41.97,41.59,41.65,105.11,105.63,104.79,104.85,,,,
1/5/2017,41.66,41.86,41.525,41.75,104.52,105.12,104.1901,104.71,,,,
1/6/2017,41.7,41.81,41.54,41.74,104.98,105.16,104.12,104.56,,,,
1/9/2017,41.23,41.58,41.21,41.32,104.16,104.255,103.25,103.46,,,,
1/10/2017,41.44,41.44,40.86,41.04,103.32,103.32,101.75,101.97,,,,
1/11/2017,40.85,41.12,40.83,41.05,101.84,102.36,101.41,101.81,,,,
1/12/2017,41.01,41.04,40.8,40.95,101.71,102.52,101.58,101.84,,,,
1/13/2017,41,41.04,40.69,40.88,101.88,102.11,101.22,101.55,,,,
1/17/2017,40.84,41.3,40.8,41.22,101.07,102.32,101.06,102.19,,,,
1/18/2017,41.25,41.379,41.14,41.29,102.4,103,102.32,102.74,,,,
1/19/2017,41.14,41.29,41.03,41.14,102.28,103,102.17,102.36,,,,
1/20/2017,41.27,41.44,41.13,41.32,102.79,103.32,102.4401,103.24,,,,
1/23/2017,41.31,41.5,41.21,41.43,102.9,104.22,102.83,104.01,,,,
1/24/2017,41.47,41.97,41.47,41.9,104,104.93,103.78,104.71,,,,
1/25/2017,41.94,42.25,41.9,42.12,104.71,105.19,104.54,104.61,,,,
1/26/2017,42.03,42.11,41.79,41.81,104.51,104.73,104.07,104.14,,,,
1/27/2017,41.91,41.95,41.42,41.45,104.38,104.41,103.43,103.48,,,,
1/30/2017,41.3,41.48,41.205,41.38,103.01,103.72,103,103.69,,,,
1/31/2017,41.39,41.685,41.36,41.57,103.21,104.17,103.21,103.78,,,,
2/1/2017,41.52,41.66,41.25,41.26,103.61,103.78,102.98,103.01,,,,
2/2/2017,41.41,41.49,41.25,41.4,103.76,104.39,103.29,104.03,,,,
2/3/2017,41.58,41.79,41.455,41.54,104.44,105.765,104.06,105.11,,,,
2/6/2017,41.53,41.67,41.4,41.56,105.1,105.24,104.53,104.57,,,,
2/7/2017,41.7,41.98,41.67,41.9,104.63,105.9,104.63,105.61,,,,
2/8/2017,41.91,42.15,41.84,42.02,105.5,106.23,105.25,105.69,,,,
2/9/2017,41.52,41.68,40.72,41.25,105.42,106.49,105.02,105.97,,,,
2/10/2017,41.02,41.2,40.55,40.58,105.83,106.345,105.5868,106.1,,,,
2/13/2017,40.77,40.83,40.5,40.62,106.5,106.69,105.88,106.52,,,,
2/14/2017,40.38,40.6,40.22,40.53,106.17,107,105.67,106.92,,,,
2/15/2017,40.42,40.63,40.395,40.44,105.35,107.25,104.77,106.73,,,,
2/16/2017,40.55,41.28,40.5,41.2,107.15,108.18,106.32,108.12,,,,
2/17/2017,41.13,41.36,41.05,41.23,107.29,108.3,107.21,108.15,,,,
2/21/2017,41.2,41.5,41.2,41.46,108.07,109.5,107.95,109.36,,,,
2/22/2017,41.51,41.68,41.4,41.6,109.37,109.78,109.165,109.41,,,,
2/23/2017,41.68,42,41.62,41.66,109.12,110,109.12,109.54,,,,
2/24/2017,41.7,41.91,41.6,41.78,109.5,109.92,109.33,109.83,,,,
2/27/2017,41.75,41.75,41.585,41.67,109.69,109.88,109.23,109.27,,,,
2/28/2017,41.68,42.07,41.64,41.96,109.05,110.6,109.05,110.38,,,,
3/1/2017,42.01,42.35,41.88,42.16,109.6,110.32,109.17,109.73,,,,
3/2/2017,42.08,42.56,42.07,42.47,109.81,110.32,109.43,110.11,,,,
3/3/2017,42.44,42.49,42.25,42.48,110.1,110.67,109.65,110.56,,,,
3/6/2017,42.34,42.43,42.12,42.18,109.8,110.19,109.43,109.63,,,,
3/7/2017,42,42.24,41.95,41.99,109.16,109.77,109,109.32,,,,
3/8/2017,42,42.025,41.74,41.99,109.17,109.33,108.47,109.3,,,,
3/9/2017,42.09,42.11,41.92,42.03,109.6,109.61,108.91,109.02,,,,
3/10/2017,42.23,42.4,42.15,42.29,109.58,109.71,109.28,109.59,,,,
3/13/2017,41.92,42.12,41.84,42.03,109.32,109.7951,109.03,109.41,,,,
3/14/2017,41.98,42.1,41.83,41.97,109.28,109.73,109.12,109.34,,,,
3/15/2017,41.98,42.275,41.97,42.12,109.56,111.23,109.5,111.11,,,,
3/16/2017,42.03,42.39,41.9,42.25,111.09,111.2,110.53,111.14,,,,
3/17/2017,42.28,42.35,42.01,42.03,111.479,111.52,110.93,111.39,,,,
3/20/2017,42.1,42.34,42.0701,42.18,111.15,111.44,110.81,111.15,,,,
3/21/2017,42.31,42.63,42.21,42.5,111.54,112.31,111.47,111.77,,,,
